28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2804500206480215052900.40V00.30V00.30V00.40V00.40V00.50V00.50V00.50V00.40V00.40V00.40V00.30V00.40V00.30V00.40V00.30V00.30V00.30V00.30V00.40V00.40V00.50V00.40V00.50V
2804500207080215052901.00V01.00V01.00V01.00V04.00V08.00V012.0V012.0V04.00V08.00V03.00V03.00V03.00V03.00V09.00V07.00V01.00V03.00V03.00V08.00V06.00V05.00V04.00V03.00V
2804500208080215052906.00V04.00V06.00V09.00V024.0V037.0V045.0V039.0V020.0V026.0V015.0V016.0V017.0V014.0V031.0V024.0V08.00V022.0V028.0V047.0V033.0V025.0V021.0V022.0V
28045002104902150529028.0V030.0V019.0V019.0V018.0V026.0V033.0V042.0V034.0V027.0V026.0V034.0V041.0V046.0V085.0V071.0V025.0V026.0V023.0V014.0V023.0V021.0V013.0V020.0V
2804500214060215052900102V00107V00101V096.0V085.0V076.0V074.0V078.0V091.0V094.0V00113V00120V00132V00130V097.0V00101V00111V00100V095.0V079.0V087.0V085.0V087.0V085.0V
2804500281890215052900.90V01.10V00.80V00.70V00.50V00.60V00.80V00.60V00.60V00.40V01.00V01.80V01.80V02.10V01.30V00.90V01.30V00.90V00.80V00.50V01.10V00.70V00.60V00.40V
28045002828902150529080.0V083.0V070.0V087.0V096.0V075.0V00103V00121V00186V053.0V00227V00261V00238V00253V048.0V00313V00291V00255V00242V042.0V00105V074.0V055.0V065.0V
28045002838902150529021.0V020.1V019.1V018.2V017.9V017.6V018.7V020.1V019.7V022.0V024.4V026.3V027.9V028.4V025.5V026.7V024.7V024.1V022.9V022.6V019.9V018.2V017.4V017.3V
28045002868902150529029.0V037.0V041.0V044.0V044.0V048.0V047.0V045.0V046.0V041.0V036.0V032.0V030.0V028.0V030.0V028.0V031.0V032.0V033.0V035.0V046.0V054.0V057.0V056.0V
2804500287890215052900912V00912V00911V00911V00911V00912V00912V00912V00912V00912V00912V00911V00911V00910V00910V00910V00910V00911V00911V00912V00912V00912V00913V00912V
2804500288890215052902.00V02.00V02.00V02.00V03.00V038.0V00125V00383V00393V00739V00966V00981V00951V00829V00398V00257V00181V098.0V049.0V021.0V02.00V02.00V02.00V02.00V
2804500289890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804700201380215052902.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V02.00V01.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V
2804700207080215052901.00V01.00V01.00V01.00V06.00V045.0V029.0V07.00V02.00V03.00V01.00V01.00V01.00V01.00V03.00V03.00V06.00V05.00V017.0V05.00V01.00V02.00V02.00V04.00V
28047002080802150529025.0V016.0V010.0V015.0V048.0V092.0V079.0V040.0V010.0V021.0V08.00V06.00V07.00V06.00V020.0V019.0V037.0V039.0V084.0V039.0V028.0V037.0V038.0V060.0V
2804700209490215052908.00V09.00V09.00V010.0V016.0V08.00V027.0V033.0V014.0V011.0V018.0V017.0V015.0V024.0V016.0V013.0V029.0V026.0V026.0V031.0V022.0V019.0V019.0V015.0V
28047002140602150529069.0V078.0V081.0V066.0V040.0V018.0V030.0V064.0V084.0V084.0V00104V00115V00117V00104V085.0V091.0V081.0V079.0V047.0V066.0V069.0V066.0V058.0V034.0V
2804700220590215052905.30V03.50V01.80V02.00V03.50V04.70V05.30V05.20V03.30V02.50V03.30V03.40V03.60V02.70V02.60V02.90V02.10V03.00V03.40V06.00V03.10V03.20V02.20V03.40V
2804700230590215052901.20V00.50V00.30V00.40V00.90V01.90V02.00V02.00V00.80V00.70V00.70V00.60V00.60V00.50V00.50V00.80V00.60V00.90V01.30V02.80V00.90V01.20V00.90V01.20V
2804700231590215052902.40V01.10V00.60V00.50V01.10V01.70V02.20V02.20V01.30V00.90V01.20V01.30V01.20V00.90V00.70V01.20V00.80V01.40V02.00V03.50V01.50V01.20V01.30V01.70V
2804700242020215052905.50V05.40V05.30V05.30V05.30V05.40V05.50V05.40V05.40V05.40V05.40V05.40V05.40V05.40V05.30V05.30V05.20V05.20V05.20V05.30V05.30V05.20V05.20V05.30V
2804700244020215052900.20V00.10V00.10V00.10V00.10V00.20V00.20V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2804700281890215052901.80V01.90V01.50V01.40V01.30V01.10V01.00V01.40V02.10V01.60V02.80V03.20V04.00V04.50V03.30V05.20V02.50V02.50V01.00V02.60V02.00V02.50V01.70V01.30V
2804700282890215052900126V058.0V040.0V00336V00327V00357V054.0V00231V00184V00102V00261V00250V00266V00293V00316V00313V00318V00326V00109V00240V00153V083.0V014.0V00351V
28047002838902150529019.2V019.2V018.3V015.8V014.3V014.4V017.9V021.1V020.7V023.5V025.4V026.3V027.3V026.9V025.2V022.8V022.5V022.5V022.2V019.8V018.8V018.1V017.0V015.7V
28047002868902150529028.0V030.0V035.0V042.0V047.0V050.0V044.0V037.0V040.0V034.0V030.0V027.0V025.0V024.0V024.0V028.0V029.0V027.0V029.0V041.0V044.0V050.0V052.0V057.0V
2804700287890215052900915V00915V00914V00914V00914V00914V00915V00916V00916V00916V00916V00916V00915V00914V00914V00914V00914V00914V00914V00915V00916V00916V00916V00915V
2804700288890215052904.00V04.00V04.00V04.00V05.00V095.0V00286V00479V00463V00732V00900V00840V00901V00587V00206V00194V099.0V052.0V035.0V013.0V04.00V04.00V04.00V04.00V
2804700289890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804900307080215052901.00V01.00V01.00V01.00V06.00V052.0V059.0V*****N04.00V02.00V*****N*****N*****N01.00V02.00V09.00V018.0V04.00V02.00V03.00V06.00V03.00V03.00V01.00V
28049003080802150529031.0V012.0V019.0V028.0V061.0V081.0V077.0V*****N024.0V016.0V*****N*****N*****N012.0V016.0V033.0V052.0V034.0V028.0V039.0V035.0V034.0V061.0V044.0V
28049003104902150529033.0V022.0V026.0V023.0V021.0V025.0V032.0V*****N033.0V042.0V*****N*****N*****N049.0V041.0V032.0V024.0V024.0V029.0V024.0V014.0V026.0V017.0V019.0V
28049003140602150529073.0V095.0V088.0V074.0V029.0V06.00V*****N*****N085.0V083.0V*****N*****N*****N00111V00115V084.0V061.0V079.0V089.0V078.0V078.0V075.0V045.0V054.0V
2804900381890215052900.90V00.90V00.60V00.60V00.80V00.80V00.90V*****N01.70V01.70V*****N*****N*****N03.90V03.40V01.90V01.80V03.20V03.20V02.40V01.90V00.90V00.70V01.00V
2804900382890215052900113V00260V034.0V00180V097.0V00112V00112V*****N00260V00242V*****N*****N*****N00255V00269V00336V035.0V00277V00284V00304V034.0V00311V00335V00309V
28049003838902150529020.6V019.4V018.2V017.8V016.7V015.8V016.2V*****N020.4V022.1V*****N*****N*****N027.4V028.6V026.6V026.6V025.2V023.7V022.7V021.4V020.0V019.2V018.5V
28049003868902150529036.0V039.0V041.0V042.0V046.0V049.0V053.0V*****N037.0V034.0V*****N*****N*****N024.0V022.0V022.0V019.0V024.0V027.0V031.0V036.0V043.0V047.0V049.0V
2804900387890215052900923V00923V00923V00923V00923V00923V00923V*****N00924V00924V*****N*****N*****N00921V00921V00921V00921V00922V00922V00923V00924V00925V00924V00924V
2804900388890215052905.00V05.00V05.00V05.00V05.00V023.0V061.0V*****N00559V00522V*****N*****N*****N00774V00592V00218V00190V00134V055.0V07.00V05.00V05.00V05.00V05.00V
2804900389890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V*****N00.00V00.00V*****N*****N*****N00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2805800407080215052902.00V02.00V03.00V03.00V04.00V08.00V012.0V*****N012.0V05.00V04.00V04.00V04.00V04.00V03.00V03.00V04.00V04.00V03.00V03.00V04.00V03.00V03.00V02.00V
28058004080802150529026.0V028.0V015.0V024.0V044.0V060.0V053.0V*****N042.0V020.0V017.0V09.00V09.00V09.00V011.0V011.0V018.0V015.0V019.0V014.0V015.0V014.0V015.0V013.0V
28058004104902150529037.0V031.0V029.0V025.0V030.0V027.0V033.0V031.0V037.0V038.0V032.0V029.0V018.0V023.0V035.0V045.0V043.0V025.0V028.0V017.0V013.0V012.0V015.0V09.00V
28058004140602150529070.0V064.0V077.0V071.0V054.0V044.0V056.0V067.0V066.0V084.0V092.0V00108V00111V00115V00107V095.0V091.0V098.0V094.0V092.0V091.0V094.0V085.0V080.0V
2805800420590215052902.70V03.70V01.20V00.80V00.80V00.90V00.80V00.60V00.60V01.20V01.60V01.90V00.80V00.60V01.20V01.20V00.90V00.90V01.00V00.80V00.50V00.30V00.60V00.50V
2805800430590215052900.90V00.30V00.20V00.20V00.20V00.20V01.10V00.20V00.40V00.30V00.20V00.20V00.20V00.20V00.40V00.30V00.20V00.30V00.30V00.20V00.30V00.20V00.20V00.20V
2805800431590215052900.20V00.20V00.30V00.20V00.20V00.30V00.20V00.20V00.40V00.20V00.30V00.20V00.20V00.20V00.40V00.60V00.20V00.30V00.20V00.70V00.60V00.20V00.20V00.20V
2805800442020215052904.90V05.90V06.90V07.80V05.70V04.70V04.70V05.60V05.10V04.90V04.60V04.50V04.50V04.50V04.60V04.40V04.50V04.50V04.50V04.50V04.50V04.50V04.50V04.50V
2805800444020215052900.30V00.30V00.10V00.10V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2805800481890215052901.90V03.10V03.50V03.20V03.50V03.70V03.40V02.70V03.10V02.10V02.00V03.90V04.10V04.80V04.60V03.00V03.60V04.40V03.80V03.90V03.00V02.20V01.80V01.30V
2805800482890215052900148V095.0V083.0V091.0V00100V091.0V098.0V084.0V00108V00173V00266V00252V00259V00272V00282V00281V00287V00299V00291V00284V00297V00301V00302V00278V
28058004838902150529026.0V023.9V021.8V020.8V019.7V019.4V020.3V022.3V023.8V025.6V027.4V029.4V030.7V031.9V029.8V027.9V027.6V026.5V024.2V022.3V022.2V021.1V020.9V020.0V
28058004868902150529032.0V037.0V042.0V042.0V046.0V048.0V045.0V042.0V039.0V036.0V033.0V029.0V026.0V026.0V029.0V028.0V032.0V035.0V041.0V050.0V048.0V053.0V053.0V057.0V
2805800487890215052900934V00934V00934V00934V00934V00935V00935V00935V00935V00935V00935V00934V00934V00933V00933V00933V00934V00934V00934V00935V00935V00936V00936V00936V
2805800488890215052904.00V04.00V04.00V04.00V04.00V024.0V00175V00366V00445V00459V00420V00738V00780V00812V00152V00100V00173V025.0V04.00V04.00V04.00V04.00V04.00V04.00V
2805800489890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2806501407080215052902.00V02.00V02.00V02.00V05.00V04.00V08.00V09.00V06.00V04.00V05.00V03.00V02.00V02.00V02.00V02.00V03.00V03.00V02.00V03.00V01.00V02.00V01.00V03.00V
28065014080802150529038.0V027.0V023.0V033.0V050.0V039.0V039.0V032.0V022.0V018.0V023.0V016.0V010.0V011.0V017.0V016.0V026.0V027.0V029.0V023.0V020.0V019.0V022.0V035.0V
28065014104902150529023.0V026.0V025.0V023.0V025.0V026.0V032.0V032.0V029.0V044.0V064.0V041.0V030.0V026.0V034.0V068.0V036.0V020.0V016.0V018.0V014.0V011.0V012.0V015.0V
28065014140602150529049.0V059.0V061.0V054.0V038.0V050.0V052.0V061.0V074.0V078.0V081.0V094.0V00106V00105V096.0V088.0V076.0V081.0V082.0V084.0V081.0V082.0V075.0V058.0V
2806501481890215052900.40V01.30V01.20V01.00V00.80V00.80V01.30V01.20V01.40V01.00V01.00V01.50V02.00V01.90V01.80V04.40V02.00V01.80V01.50V01.90V02.70V02.10V01.10V00.50V
2806501482890215052900127V086.0V084.0V082.0V00102V00100V084.0V061.0V00103V00125V00196V00152V00148V00175V00200V00267V00232V00218V00234V00223V00265V00259V00293V00123V
28065014838902150529023.0V021.4V019.6V018.9V018.1V018.2V019.5V021.2V022.8V024.4V025.8V027.7V029.4V031.3V030.6V026.7V027.1V026.1V024.4V022.8V021.4V020.3V019.8V019.3V
28065014868902150529034.0V039.0V042.0V042.0V045.0V047.0V043.0V040.0V037.0V035.0V032.0V029.0V026.0V024.0V025.0V026.0V026.0V030.0V033.0V040.0V044.0V048.0V050.0V051.0V
2806501487890215052900943V00943V00943V00943V00943V00944V00944V00944V00944V00944V00944V00943V00943V00942V00942V00942V00942V00943V00943V00943V00944V00944V00945V00945V
2806501488890215052901.00V01.00V01.00V01.00V01.00V025.0V00122V00346V00497V00438V00437V00675V00818V00907V00293V00155V00189V084.0V022.0V02.00V01.00V01.00V01.00V01.00V
2806501489890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2806700107080215052901.00V01.00V01.00V01.00V01.00V03.00V06.00V01.00V01.00V01.00V02.00V01.00V01.00V02.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2806700108080215052906.00V06.00V04.00V05.00V011.0V022.0V024.0V09.00V05.00V06.00V06.00V07.00V07.00V07.00V010.0V012.0V09.00V010.0V013.0V010.0V011.0V022.0V020.0V019.0V
28067001104902150529011.0V08.00V07.00V07.00V07.00V013.0V019.0V019.0V015.0V014.0V018.0V019.0V020.0V022.0V023.0V016.0V08.00V05.00V04.00V06.00V012.0V014.0V012.0V09.00V
28067001140602150529079.0V072.0V067.0V062.0V050.0V039.0V045.0V087.0V00101V00104V00114V00125V00137V00113V072.0V065.0V093.0V093.0V084.0V092.0V083.0V050.0V034.0V034.0V
2806700181890215052901.40V00.60V00.50V00.60V00.70V00.60V00.70V01.20V01.10V01.40V02.50V03.50V04.10V05.70V01.80V01.50V03.10V01.50V01.50V01.80V00.80V00.50V00.50V00.60V
2806700182890215052900298V00307V031.0V044.0V00345V04.00V011.0V050.0V022.0V067.0V00145V094.0V090.0V00265V00285V00274V079.0V00127V00281V028.0V00293V00314V071.0V082.0V
28067001838902150529016.3V014.8V013.0V011.8V011.1V013.0V018.0V019.9V021.9V023.8V024.8V025.9V027.6V022.0V017.6V021.4V022.2V022.3V021.6V019.6V017.3V015.7V013.5V012.5V
28067001868902150529041.0V046.0V055.0V061.0V067.0V065.0V051.0V046.0V040.0V036.0V034.0V031.0V026.0V038.0V075.0V061.0V042.0V039.0V045.0V052.0V063.0V074.0V085.0V087.0V
2806700187890215052900920V00920V00920V00920V00920V00921V00920V00920V00919V00919V00919V00918V00917V00918V00919V00918V00917V00918V00919V00920V00921V00921V00922V00922V
2806700188890215052904.00V04.00V04.00V04.00V05.00V048.0V00212V00410V00588V00751V00647V00763V00842V00105V00231V00281V00207V00115V070.0V022.0V04.00V04.00V04.00V04.00V
2806700189890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V02.80V00.60V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
28074007070802150529013.0V02.00V01.00V02.00V03.00V017.0V017.0V011.0V016.0V06.00V06.00V04.00V03.00V02.00V03.00V05.00V05.00V04.00V03.00V02.00V03.00V01.00V01.00V02.00V
28074007080802150529083.0V038.0V014.0V018.0V039.0V068.0V054.0V038.0V046.0V022.0V026.0V017.0V016.0V012.0V019.0V018.0V024.0V023.0V032.0V022.0V020.0V013.0V018.0V035.0V
28074007104902150529023.0V034.0V026.0V024.0V022.0V033.0V039.0V035.0V032.0V035.0V032.0V031.0V029.0V021.0V016.0V038.0V033.0V023.0V023.0V015.0V021.0V013.0V021.0V013.0V
2807400714060215052906.00V054.0V082.0V080.0V053.0V027.0V046.0V064.0V061.0V086.0V089.0V00108V00112V00119V00111V098.0V092.0V00101V091.0V096.0V095.0V00101V088.0V061.0V
2807400781890215052900.40V00.90V01.20V00.90V01.00V00.90V01.20V01.30V01.50V01.10V00.80V01.90V02.40V01.60V01.90V02.40V02.00V01.40V00.90V01.40V01.60V00.90V00.90V00.30V
2807400782890215052900359V074.0V065.0V066.0V00105V00115V073.0V063.0V00112V00168V00220V00197V00193V00210V00224V00271V00250V00244V00232V00224V00273V00252V00295V00235V
28074007838902150529020.3V020.1V018.9V018.3V017.7V018.0V019.3V020.7V022.2V023.8V025.9V026.9V027.7V029.2V028.1V025.1V025.6V024.2V022.4V020.5V019.5V018.9V018.1V017.3V
28074007868902150529035.0V038.0V041.0V041.0V044.0V045.0V043.0V038.0V035.0V032.0V029.0V026.0V024.0V023.0V025.0V024.0V023.0V029.0V034.0V044.0V047.0V050.0V054.0V057.0V
2807400787890215052900940V00940V00940V00940V00940V00940V00941V00941V00941V00941V00940V00940V00939V00939V00938V00938V00939V00939V00939V00940V00941V00942V00942V00942V
2807400788890215052904.00V04.00V04.00V04.00V04.00V044.0V00213V00429V00552V00529V00506V00805V00726V00818V00340V00146V00133V056.0V08.00V04.00V04.00V04.00V04.00V04.00V
2807400789890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2808000307080215052901.00V01.00V01.00V01.00V01.00V02.00V08.00V08.00V07.00V*****N*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28080003080802150529032.0V021.0V017.0V016.0V027.0V058.0V078.0V072.0V065.0V*****N*****N*****N09.00V09.00V010.0V012.0V012.0V018.0V023.0V019.0V014.0V014.0V023.0V030.0V
28080003104902150529019.0V016.0V024.0V019.0V017.0V019.0V016.0V027.0V030.0V035.0V*****N034.0V028.0V026.0V024.0V028.0V032.0V021.0V016.0V013.0V018.0V012.0V012.0V010.0V
28080003140602150529071.0V077.0V081.0V083.0V074.0V053.0V044.0V057.0V*****N*****N*****N*****N097.0V00103V095.0V088.0V096.0V094.0V090.0V091.0V090.0V090.0V075.0V066.0V
2808000381890215052903.90V04.60V04.70V04.00V03.80V03.80V03.40V02.70V03.70V02.50V02.00V02.40V02.70V03.50V04.10V05.00V04.00V03.30V02.10V03.20V03.30V01.90V02.00V01.90V
2808000382890215052906.00V07.00V08.00V07.00V07.00V07.00V010.0V025.0V06.00V027.0V035.0V00215V00181V00248V00248V00242V00235V00271V00252V00254V00254V00279V00358V00357V
28080003838902150529020.8V019.1V018.1V017.7V017.3V017.2V017.8V019.0V021.1V022.8V024.4V025.8V026.8V027.2V026.1V024.0V022.7V022.4V021.7V019.7V018.1V017.3V016.5V015.8V
28080003868902150529034.0V042.0V048.0V051.0V054.0V055.0V056.0V053.0V047.0V044.0V040.0V036.0V034.0V034.0V033.0V033.0V040.0V040.0V043.0V056.0V066.0V071.0V076.0V080.0V
2808000387890215052900935V00935V00935V00935V00935V00935V00937V00937V00937V00937V00937V00935V00935V00934V00934V00934V00935V00935V00935V00936V00938V00938V00938V00938V
2808000388890215052903.00V03.00V03.00V03.00V04.00V068.0V00249V00357V00516V00739V00849V00965V00991V00770V00424V00140V00121V064.0V027.0V05.00V03.00V03.00V03.00V03.00V
2808000389890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2809200501380215052903.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V
2809200506480215052900.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.30V00.20V00.20V00.30V00.30V
2809200507080215052902.00V02.00V02.00V02.00V02.00V03.00V05.00V06.00V09.00V07.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V02.00V02.00V02.00V01.00V02.00V02.00V
28092005080802150529026.0V024.0V019.0V014.0V020.0V034.0V027.0V031.0V033.0V025.0V013.0V09.00V09.00V09.00V010.0V010.0V012.0V012.0V013.0V012.0V011.0V011.0V017.0V015.0V
28092005104902150529017.0V019.0V028.0V024.0V021.0V023.0V020.0V027.0V033.0V018.0V028.0V018.0V024.0V022.0V024.0V098.0V030.0V012.0V014.0V014.0V012.0V011.0V015.0V07.00V
28092005140602150529055.0V051.0V058.0V069.0V059.0V040.0V050.0V046.0V046.0V065.0V087.0V098.0V099.0V00104V098.0V087.0V087.0V090.0V089.0V082.0V084.0V078.0V065.0V063.0V
2809200581890215052901.90V01.40V02.00V02.60V02.30V02.40V02.30V01.40V01.70V01.80V01.90V03.20V03.90V03.70V04.90V05.50V03.50V03.50V03.60V03.70V03.10V01.80V01.70V01.20V
2809200582890215052900107V093.0V092.0V098.0V097.0V00100V00100V070.0V094.0V00141V00183V00210V00205V00226V00282V00296V00269V00245V00220V00244V00265V00248V00295V00312V
28092005838902150529022.7V021.3V019.7V018.6V018.1V017.6V018.6V020.4V022.1V023.5V025.5V026.7V027.3V028.3V026.8V024.2V024.4V022.6V021.6V019.9V019.0V018.0V017.2V016.4V
28092005868902150529028.0V033.0V037.0V038.0V040.0V044.0V042.0V038.0V034.0V031.0V027.0V024.0V022.0V022.0V023.0V024.0V026.0V031.0V036.0V043.0V047.0V053.0V056.0V060.0V
2809200587890215052900924V00924V00924V00924V00924V00925V00925V00925V00925V00925V00925V00925V00924V00923V00923V00923V00924V00925V00924V00925V00926V00927V00927V00927V
2809200588890215052904.00V04.00V04.00V04.00V04.00V033.0V00209V00359V00537V00735V00757V00840V00931V00785V00323V094.0V00139V020.0V04.00V04.00V04.00V04.00V04.00V04.00V
2809200589890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2810200101380215052902.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V03.00V02.00V03.00V03.00V03.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V
2810200106480215052900.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.30V00.20V00.20V00.20V00.20V00.30V
2810200107080215052901.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2810200108080215052904.00V04.00V04.00V04.00V04.00V04.00V04.00V04.00V04.00V05.00V05.00V04.00V03.00V04.00V04.00V04.00V08.00V08.00V06.00V07.00V07.00V06.00V09.00V07.00V
28102001104902150529026.0V027.0V02.00V014.0V013.0V019.0V022.0V019.0V019.0V019.0V021.0V017.0V012.0V010.0V013.0V014.0V019.0V018.0V013.0V013.0V010.0V09.00V09.00V05.00V
2810200114060215052900101V00101V099.0V094.0V089.0V085.0V091.0V093.0V092.0V096.0V00100V00106V00109V00111V00115V00120V00105V00102V00102V00100V099.0V097.0V097.0V091.0V
2810200181890215052901.70V01.10V01.20V00.60V00.20V00.10V00.10V00.20V00.10V00.70V01.40V00.60V02.80V03.30V03.00V02.80V03.70V02.90V05.00V01.40V00.20V00.20V00.20V00.10V
2810200182890215052900123V098.0V079.0V076.0V076.0V079.0V070.0V092.0V00150V00206V00169V00169V00158V00189V00239V00256V00307V00263V00257V00267V00264V00282V00348V00110V
28102001838902150529019.5V018.8V018.2V017.0V016.1V015.8V017.4V019.2V022.1V023.4V024.6V025.5V027.1V027.5V028.8V028.7V026.3V025.5V023.2V021.6V021.1V020.2V020.0V018.9V
28102001868902150529041.0V042.0V045.0V049.0V052.0V053.0V046.0V043.0V039.0V036.0V035.0V033.0V028.0V028.0V026.0V026.0V027.0V029.0V038.0V042.0V043.0V043.0V042.0V046.0V
2810200187890215052900924V00924V00923V00923V00923V00923V00922V00923V00923V00923V00924V00923V00923V00922V00922V00921V00922V00922V00923V00924V00925V00924V00924V00924V
2810200188890215052904.00V04.00V04.00V04.00V04.00V038.0V00169V00324V00331V00470V00863V00617V00649V00608V00737V00439V00149V089.0V028.0V04.00V04.00V04.00V04.00V04.00V
2810200189890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2812300207080215052901.00V01.00V01.00V01.00V02.00V07.00V016.0V09.00V02.00V01.00V04.00V01.00V01.00V01.00V02.00V03.00V04.00V01.00V01.00V01.00V05.00V01.00V02.00V03.00V
2812300208080215052901.00V01.00V01.00V01.00V011.0V030.0V048.0V025.0V05.00V08.00V025.0V06.00V01.00V02.00V010.0V027.0V038.0V020.0V023.0V024.0V045.0V024.0V046.0V067.0V
28123002104902150529*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N
28123002140602150529087.0V087.0V085.0V083.0V069.0V058.0V045.0V067.0V081.0V085.0V080.0V099.0V00103V00108V00109V080.0V066.0V082.0V081.0V079.0V066.0V077.0V049.0V029.0V
2812300281890215052900.90V00.80V00.40V00.40V00.40V00.40V00.40V00.40V00.50V00.60V00.50V00.70V03.70V04.70V03.50V04.50V03.00V06.20V02.40V02.70V00.60V00.50V00.40V00.40V
28123002828902150529097.0V074.0V046.0V066.0V068.0V061.0V046.0V075.0V072.0V00214V00263V00214V00180V00174V00212V00250V00234V00222V00223V00239V00300V00319V00105V00223V
28123002838902150529022.1V020.0V019.0V018.5V017.6V018.4V019.8V021.1V022.6V024.6V024.9V025.5V026.5V028.2V029.0V025.6V025.8V024.4V023.4V021.8V021.3V020.3V019.7V018.5V
28123002868902150529038.0V041.0V043.0V045.0V050.0V050.0V047.0V041.0V036.0V033.0V033.0V030.0V029.0V026.0V024.0V029.0V026.0V034.0V035.0V040.0V042.0V048.0V051.0V056.0V
2812300287890215052900944V00944V00944V00944V00944V00944V00944V00944V00944V00944V00944V00943V00943V00942V00941V00942V00942V00943V00943V00944V00945V00945V00945V00945V
2812300288890215052904.00V04.00V04.00V04.00V05.00V033.0V00131V00338V00457V00556V00349V00394V00509V00844V00499V00140V00183V00138V049.0V05.00V04.00V04.00V04.00V04.00V
2812300289890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.40V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2813300207080215052901.00V01.00V01.00V01.00V01.00V03.00V03.00V02.00V02.00V01.00V01.00V01.00V01.00V03.00V03.00V02.00V02.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V
2813300208080215052902.00V02.00V03.00V04.00V05.00V017.0V020.0V015.0V014.0V010.0V010.0V09.00V09.00V011.0V09.00V07.00V09.00V012.0V014.0V09.00V06.00V010.0V08.00V011.0V
28133002140602150529092.0V090.0V092.0V078.0V081.0V066.0V061.0V082.0V087.0V00104V00112V00117V00115V00107V091.0V087.0V080.0V083.0V076.0V086.0V091.0V077.0V068.0V058.0V
